,show_id,type_x,title,director,cast,country,date_added,release_year_x,rating,duration,listed_in,description_x,id,type_y,description_y,release_year_y,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
3742,s5570,TV Show,Samurai Gourmet,,"Naoto Takenaka, Tetsuji Tamayama, Honami Suzuki",Japan,"March 17, 2017",2017,TV-PG,1 Season,"International TV Shows, TV Dramas",Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.,ts55978,SHOW,Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.,2017,,21,['comedy'],['JP'],1.0,tt6304676,8.1,2099.0,5.009,7.9
3743,s5576,TV Show,Cheer Squad,,,United States,"March 14, 2017",2016,TV-PG,1 Season,"Reality TV, Teen TV Shows","Follow the Great White Sharks, a world-champion cheerleading squad, as they juggle the pressures of training, school, work and relationships.",ts42011,SHOW,"The Great White Sharks are a sisterhood, there for each other through first loves, new jobs, bad breakups, and everything in between. But they are also elite athletes, idolized by thousands and members of the best all-star cheerleading team in the world. Cheer Squad follows the two-time World Cheerleading Champions on the long road to defending their title as they try to balance life off the mat with the all-consuming battle to stay on top.",2016,TV-PG,42,['reality'],['CA'],1.0,tt5993744,7.2,167.0,1.168,7.9
3744,s5577,Movie,Jim Norton: Mouthful of Shame,Shannon Hartman,Jim Norton,United States,"March 14, 2017",2017,TV-MA,62 min,Stand-Up Comedy,"In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities.",tm311902,MOVIE,"Fedoras, mom's underpants, and puppy love all make Jim Norton's s**t list in 'Mouthful of Shame'.",2017,,61,['comedy'],['US'],,tt6664120,7.0,1328.0,2.513,6.9
3745,s5578,Movie,100 Meters,Marcel Barrena,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer","Portugal, Spain","March 10, 2017",2016,TV-MA,109 min,"Dramas, International Movies, Sports Movies","A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",tm240733,MOVIE,"Based on the incredibly true story of a Spanish man with Multiple Esclorosis who tried to finish an Iron-Man: 3,8km swimming, 180km cycling and 42 running. And he was told that he could not make 100 meters.",2016,,108,"['drama', 'comedy', 'european']",['ES'],,tt5089786,7.5,6248.0,8.137,7.5
3746,s5579,TV Show,Buddy Thunderstruck,,"Brian Atkinson, Ted Raimi, Harry Chaskin, Justin Michael, Debi Derryberry, Philip Maurice Hayes, Leigh Kelly, J.D. Ryznar, Nick Shakoour, Ryan Wiesbrock, Clark Wiesbrock",United States,"March 10, 2017",2017,TV-Y7,1 Season,"Kids' TV, TV Comedies","Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit.",ts55576,SHOW,"Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit.",2017,TV-Y7,23,"['comedy', 'family', 'sport', 'animation', 'action']",['US'],2.0,tt6591468,7.7,495.0,3.267,8.4
3747,s5580,Movie,Burning Sands,Gerard McMurray,"Trevor Jackson, Alfre Woodard, Trevante Rhodes, Steve Harris, DeRon Horton, Rotimi, Serayah, Tosin Cole, Malik Bazille, Octavius J. Johnson, Davyon St. Usaire, Mitchell Edwards, Nafessa Williams, Christian Robinson, Imani Hakim, Raquel Bianca John",United States,"March 10, 2017",2017,TV-MA,102 min,"Dramas, Independent Movies",Promising student Zurich opens his eyes to some hard truths when his fraternity's violent hazing escalates into a disastrous hell night.,tm283322,MOVIE,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",2017,,105,"['drama', 'thriller', 'action']",['US'],,tt5826432,6.0,2854.0,9.374,5.8
3748,s5581,TV Show,One More Time,,"L, So-hui Yoon, Gi-du Kim, Chang-hwan Kim, Ji Su, Tae-im Lee, Nam-gil Kang",South Korea,"March 10, 2017",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate.,ts53065,SHOW,This fantasy drama follows an indie band singer who repeatedly undergoes unwanted time slips and the girlfriend he must save from an unlucky fate.,2016,TV-14,31,"['scifi', 'drama', 'fantasy']",['KR'],1.0,tt6212990,6.8,582.0,3.778,7.2
3749,s5582,Movie,The Butterfly's Dream,Yılmaz Erdoğan,"Kıvanç Tatlıtuğ, Mert Fırat, Belçim Bilgin, Farah Zeynep Abdullah, Yılmaz Erdoğan, Ahmet Mümtaz Taylan, Taner Birsel, Selman Ünlüsoy, İpek Bilgin, Aksel Bonfil, Devrim Yakut, Salih Kalyon",Turkey,"March 10, 2017",2013,TV-PG,118 min,"Dramas, International Movies, Romantic Movies","Forced to work in a coal mine during World War II, two young poets find some escape when they both fall for the same woman.",tm172027,MOVIE,"In a small Turkish town, two young tuberculous poets try to survive while publishing their poems. As they both fall in love, their life would never be the same.",2013,PG-13,138,"['drama', 'history', 'romance']",['TR'],,tt2608224,7.7,22191.0,5.576,7.3
3750,s5583,Movie,Amy Schumer: The Leather Special,Amy Schumer,Amy Schumer,United States,"March 7, 2017",2017,TV-MA,57 min,Stand-Up Comedy,"Comic sensation Amy Schumer riffs on sex, dating and the absurdities of fame in a bold and uncensored stand-up set at Denver's Bellco Theater.",tm311283,MOVIE,"Comic sensation Amy Schumer riffs on sex, dating and the absurdities of fame in a bold and uncensored stand-up set at Denver's Bellco Theater.",2017,,57,['comedy'],['US'],,tt6616074,3.1,9830.0,5.336,4.1
3751,s5587,Movie,Mike Birbiglia: Thank God for Jokes,"Seth Barrish, Mike Birbiglia",Mike Birbiglia,United States,"February 28, 2017",2017,TV-MA,71 min,Stand-Up Comedy,"Comedian Mike Birbiglia takes the stage in Brooklyn and hits on hard truths about puppets, late people and the very real dangers of being funny.",tm307950,MOVIE,"Mike Birbiglia declares that a joke should never end with ""I’m joking."" In his all-new comedy, Birbiglia tiptoes hilariously through the minefield that is modern-day joke-telling. Join Mike as he learns that the same jokes that elicit laughter have the power to produce tears, rage, and a whole lot of getting yelled at. Ultimately it's a show that asks, “How far should we go for the laugh?”",2017,,71,['comedy'],['US'],,tt6608034,7.5,2494.0,3.804,7.4
3752,s5588,Movie,Force 2,Abhinay Deo,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin, Narendra Jha, Adil Hussain, Vikram Kapadia, Patricia Hittler, Genelia D'souza, Raj Babbar, Freddy Daruwala, Boman Irani",India,"February 27, 2017",2016,TV-14,123 min,"Action & Adventure, International Movies","An ex-cop investigates the death of his best friend and two other spies, killings that lead to a mole operating from India's embassy in Budapest.",tm272854,MOVIE,"ACP Yashvardhan teams up RAW Agent KK to bring down the master mind terrorist, Shiv.",2016,PG,123,"['action', 'crime', 'thriller']",['IN'],,tt5156746,6.2,5550.0,5.209,6.6
3753,s5591,Movie,I Don't Feel at Home in This World Anymore,Macon Blair,"Melanie Lynskey, Elijah Wood, David Yow, Jane Levy, Devon Graye, Christine Woods, Robert Longstreet, Gary Anthony Williams",United States,"February 24, 2017",2017,TV-MA,97 min,"Dramas, Independent Movies, Thrillers",A timid nursing assistant gets a new lease on life when she and a neighborhood loner track down the degenerates who broke into her house.,tm273294,MOVIE,"When a depressed woman is burglarized, she finds a new sense of purpose by tracking down the thieves alongside her obnoxious neighbor. But they soon find themselves dangerously out of their depth against a pack of degenerate criminals.",2017,,93,"['drama', 'thriller', 'crime', 'comedy', 'european']",['US'],,tt5710514,6.9,55549.0,12.544,6.5
3754,s5592,TV Show,Legend Quest,,"Benny Emmanuel, Mayté Cordeiro, Andrés Couturier, Ricardo O'Farrill, Alondra Hidalgo, Alejandro Villeli, Sofía Niño de Rivera, Johnny Rose, Annemarie Blanco, Oscar Cheda, Paul Tei, Cydney J. Fam, Lisa Grossman",Mexico,"February 24, 2017",2017,TV-Y7,1 Season,Kids' TV,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time.",ts55533,SHOW,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time.",2017,TV-Y7,25,"['comedy', 'fantasy', 'animation']",['MX'],1.0,tt5038900,7.2,449.0,5.669,8.0
3755,s5593,TV Show,The Sound of Your Heart,,"Kwang-soo Lee, Dae-Myung Kim, So-min Jung, Byeong-ok Kim, Mi-kyung Kim",South Korea,"February 24, 2017",2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, TV Comedies","Based on Korea's longest-running webtoon series, this comedy follows the ridiculous daily lives of a cartoonist, his girlfriend and his subpar family.",ts52943,SHOW,"Comedy following Cho Seok's ridiculous but hilarious adventures with his girlfriend-turned-wife Ae Bong, their dogs, older brother Jo Joon, and parents. Based on the popular webtoon series of the same name.",2016,,26,"['comedy', 'drama', 'animation']",['KR'],2.0,tt4613520,8.2,1127.0,5.877,8.2
3756,s5595,Movie,Trevor Noah: Afraid of the Dark,David Paul Meyer,Trevor Noah,United States,"February 21, 2017",2017,TV-14,67 min,Stand-Up Comedy,"The ""Daily Show"" host ponders the perils of naming countries, how traffic lights turn New Yorkers invincible and why you shouldn't drink in Scotland.",tm306631,MOVIE,Trevor Noah stars in his first Netflix special.,2017,PG-13,68,['comedy'],['US'],,tt6562866,7.2,5213.0,4.794,7.1
3757,s5604,TV Show,Spark,,"Jong-chan Na, Bo-ra Nam, Da-young Joo, Yeo One, Ki-sung Bae, Jin-joo Park, Eun-soo Kwon",South Korea,"February 15, 2017",2016,TV-PG,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",A young woman's life gets a jump-start after she and a musical genius are both struck by the same falling star. But will the side effects derail love?,ts81027,SHOW,"'Spark' is a mini music drama like a night concert in the summertime, centering on a man who leaks a great deal of electricity after a sudden accident and a woman he can't get away from no matter how hard he tries",2016,TV-14,14,['drama'],['KR'],5.0,tt6409112,7.0,63.0,1.4,
3758,s5607,Movie,Girlfriend's Day,Michael Paul Stephenson,"Bob Odenkirk, Amber Tamblyn, Natasha Lyonne, Alex Karpovsky, Stacy Keach, Andy Richter, Ed Begley Jr., David Sullivan, Larry Fessenden, June Diane Raphael, Rich Sommer, Steven Michael Quezada, Echo Kellum, Stephanie Courtney, Toby Huss, Tucker Smallwood, Kevin O'Grady, Nate Mooney",United States,"February 14, 2017",2017,TV-MA,71 min,"Comedies, Independent Movies","When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin.",tm285340,MOVIE,"When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin.",2017,,70,"['comedy', 'drama']",['US'],,tt2962984,5.2,4381.0,8.861,4.8
